County,State,Population in 2010,Area (sq km),Total Onshore & Offshore Hydrogen Potential (kg/yr)
Brown,Texas,38106,2494,776154.3
Travis,Texas,1024266,2673,23205120.2
Caldwell,Texas,38066,1423,1245429.42
Ellis,Texas,149610,2463,8356649.39
Brazos,Texas,194851,1525,3988064.01
Grimes,Texas,26604,2077,684378.07
Ward,Texas,10658,2146,145493.99
Danville,Virginia,43055,114,1375669.13
Lancaster,Virginia,11391,344,1175533.97
Norfolk,Virginia,242803,143,4609297.92
Montgomery,Virginia,94392,1004,7370172.05
Door,Wisconsin,27785,1278,3238782.45
Fond du Lac,Wisconsin,101633,1987,11599105.98
Douglas,Wisconsin,44159,3432,5967397.46
Florence,Wisconsin,4423,1293,3855581.78
Marathon,Wisconsin,134063,4081,21447941.41
Jefferson,Wisconsin,83686,1507,9775085.14
Sauk,Wisconsin,61976,2200,9564215.83
Dodge,Wisconsin,88759,2339,17852104.08
Polk,Wisconsin,44205,2470,8334927.36
Custer,Idaho,4368,12789,260974.47
Jerome,Idaho,22374,1548,6157235.94
Peoria,Illinois,186494,1637,21781184.08
St. Croix,Wisconsin,84345,1900,11912512.89
Kewaunee,Wisconsin,20574,886,5423571.82
Ozaukee,Wisconsin,86395,606,2852414.86
Sevier,Arkansas,17058,1509,3309762.1
Garland,Arkansas,96024,1902,4188971.08
Toole,Montana,5324,5077,8066062.34
Broadwater,Montana,5612,3211,1329710.98
Blaine,Montana,6491,10988,6620247.94
Barton,Missouri,12402,1532,8679316.35
Churchill,Nevada,24877,13016,435089.6
Alleghany,North Carolina,11155,584,1341361.72
Surry,North Carolina,73673,1395,9349647.72
Union,North Carolina,201292,1665,14465934.62
Warren,Ohio,212693,1054,7842135.1
Lucas,Ohio,441815,904,11594800.94
Ottawa,Ohio,41428,695,7535042.31
Sandusky,Ohio,60944,1066,12426794.19
Pushmataha,Oklahoma,11572,3676,8218576.22
Seminole,Oklahoma,25482,1664,453466.06
Muskogee,Oklahoma,70990,2171,2252689.12
Monroe,Pennsylvania,169842,1589,3129814.43
Lancaster,Pennsylvania,519445,2547,28954247.62
Corson,South Dakota,4050,6557,4752911.72
Maury,Tennessee,80956,1594,2886150.12
Starr,Texas,60968,3147,3633908.9
Johnson,Texas,150934,1881,4023546.94
Cache,Utah,112656,3058,4753986.94
Franklin,Vermont,47746,1790,1701322.35
Windham,Vermont,44513,2071,2213557.98
Addison,Vermont,36821,2101,1990192
Charles City,Virginia,7256,490,3344397.04
Nottoway,Virginia,15853,797,3577308.38
Trimble,Kentucky,8809,403,6932140.27
Tallahatchie,Mississippi,15378,1714,16094603.94
Pittsylvania,Virginia,63506,2543,16041610.99
Grayson,Virginia,15533,1163,6585123.78
McDowell,West Virginia,22113,1396,1143791.5
Wood,West Virginia,86956,974,5358225.87
Chippewa,Wisconsin,62415,2698,12939321.67
Rock,Wisconsin,160331,1872,16981926.58
Cedar,Nebraska,8852,1925,17099983.69
Knox,Nebraska,8701,2937,8981895.78
Douglas,Nebraska,517110,888,12669668.44
Madison,Montana,7691,9327,984760.77
Sanders,Montana,11413,7209,3601386.24
Keya Paha,Nebraska,824,2001,1919225.98
Sheridan,Nebraska,5469,6402,4308401.79
LaMoure,North Dakota,4139,2984,24851743.1
Dale,Alabama,50251,1456,3441883.85
Russell,Alabama,52947,1659,29272271.53
Stanislaus,California,514453,3919,16444317.84
Ashley,Arkansas,21853,2427,16492266.17
Taylor,Georgia,8906,987,2084754.35
Nevada,California,98764,2529,3284180.14
Mohave,Arizona,200186,34916,3158207.56
Yuba,California,72155,1668,6112797.83
Colusa,California,21419,3011,22929428.3
Inyo,California,18546,26512,296136.02
San Mateo,California,718451,1179,11978920.37
Jasper,Georgia,13900,971,25030629.52
Indian River,Florida,138028,1332,3963177.11
Hamilton,Florida,14799,1331,4945013.2
Morgan,Georgia,17868,920,1633078.87
Peach,Georgia,27695,393,1171217.14
Henderson,Texas,78532,2459,1845171.38
Hardeman,Texas,4139,1814,1068414.54
Elmore,Idaho,27038,8036,3502208.86
Bear Lake,Idaho,5986,2715,691082.8
Warrick,Indiana,59689,1019,4970735.61
Real,Texas,3309,1820,47644.99
Hardin,Texas,54635,2326,5182452.37
Washington,Virginia,54876,1464,1214468.49
Bath,Virginia,4731,1387,4088574.7
Floyd,Virginia,15279,987,1781902.29
Barron,Wisconsin,45870,2304,11687342.82
Dodge,Nebraska,36691,1416,19565935.94
Sarpy,Nebraska,158840,641,7345920.74
Washington,Nebraska,20234,1024,9760756.58
Cass,Nebraska,25241,1469,12797765.04
Dawson,Nebraska,24326,2644,30051185.24
Polk,Nebraska,5406,1138,17318842.86
Randolph,Georgia,7719,1116,4039401.03
Whiteside,Illinois,58498,1809,31093415.84
Cook,Illinois,5194675,2492,92181012.2
DuPage,Illinois,916924,875,14924124.22
Lafayette,Louisiana,221578,697,9687316.57
Orleans,Louisiana,343829,905,6816536.28
Rapides,Louisiana,131613,3529,18921094.79
Madison,Louisiana,12093,1679,15464276.18
Penobscot,Maine,153923,9213,20138866.19
Queen Anne's,Maryland,47798,943,10283277.64
Keweenaw,Michigan,2156,1464,1230361.83
DeSoto,Mississippi,161252,1281,6510832.93
Treasure,Montana,718,2552,1023545.17
Colfax,New Mexico,13750,9768,599196.51
Lewis,New York,27087,3354,3670166.45
Montgomery,North Carolina,27798,1302,40646130.38
Wayne,North Carolina,122623,1450,12962866.63
Pontotoc,Oklahoma,37492,1878,620251.52
Richland,South Carolina,384504,2002,16345219.41
Cass,Texas,30464,2493,15115443.75
Oldham,Kentucky,60316,508,1448595.9
Graves,Kentucky,37121,1437,9899675.13
Daviess,Kentucky,96656,1227,14943287.04
St. Tammany,Louisiana,233740,2878,5565986.17
Barry,Michigan,59173,1501,6444885.17
Carver,Minnesota,91042,970,10953090.25
Bolivar,Mississippi,34145,2342,28751056.31
Yazoo,Mississippi,28065,2403,13752932.7
Russell,Virginia,28897,1234,1086485.8
Dawson,Montana,8966,6173,5005181.71
Hill,Montana,16096,7541,14369037.57
Lancaster,Nebraska,285407,2196,18377820.08
Tyler,West Virginia,9208,672,342918.75
Esmeralda,Nevada,783,9284,21050.14
Cibola,New Mexico,27213,11702,408795.19
McCracken,Kentucky,65565,691,2688458.99
Alexander,North Carolina,37198,688,2896687.31
Tensas,Louisiana,5252,1664,12166136.01
St. Helena,Louisiana,11203,1059,3773888.62
Washtenaw,Michigan,344791,1872,10348097.41
McClain,Oklahoma,34506,1499,950312.38
Curry,Oregon,22364,4233,3383431.15
Le Sueur,Minnesota,27703,1226,14637409.08
Newport,Rhode Island,82888,292,1300149.31
Claiborne,Mississippi,9604,1315,10974200.2
Rankin,Mississippi,141617,2088,4130648.01
Jackson,Texas,14075,2238,6224665.09
Putnam,Missouri,4979,1348,3035776.33
Marion,Texas,10546,1089,2818386.98
Accomack,Virginia,33164,1201,4657894.4
Pend Oreille,Washington,13001,3679,2443010.24
Buffalo,Wisconsin,13587,1836,8839078.72
Towns,Georgia,10471,446,188079.99
Wabasha,Minnesota,21676,1416,12026950.62
Aitkin,Minnesota,16202,5190,6796759.32
Anoka,Minnesota,330844,1160,7334901.96
Clearwater,Minnesota,8695,2663,2805790.43
Custer,Montana,11699,9807,1037175.9
Morgan,West Virginia,17541,593,753829.73
Marshall,West Virginia,33107,813,616880.87
Monroe,West Virginia,13502,1228,1149183.13
Clallam,Washington,71404,4613,18914279.6
Braxton,West Virginia,14523,1338,9043491.96
Summers,West Virginia,13927,945,1633899.58
Sioux,Nebraska,1311,5367,2460078.99
Morris,Texas,12934,677,1058795.56
San Joaquin,California,685306,3684,24363309.35
Faulkner,Arkansas,113237,1718,3215849.55
Solano,California,413344,2181,9561323.13
Greene,Georgia,15994,1053,2650839.12
Kalawao,Hawaii,90,42,1576.96
Jackson,Kentucky,13494,900,946556.53
Terrebonne,Louisiana,111860,3689,7340544.48
La Salle,Louisiana,14890,1716,4121097.3
Androscoggin,Maine,107702,1288,4854939.15
Prince George's,Maryland,863420,1259,13092592.17
Houghton,Michigan,36628,2630,5401487.5
Valley,Montana,7369,13122,10142786.6
Rosebud,Montana,9233,12993,1299332.85
Hunterdon,New Jersey,128349,1136,2935911.95
Wyoming,New York,42155,1556,4638153.1
Guilford,North Carolina,488406,1710,13239024.91
Charleston,South Carolina,350209,2533,9433179.48
York,South Carolina,226073,1791,26330080.62
Greenwood,South Carolina,69661,1200,4840415.63
Platte,Missouri,89322,1084,4401362.61
Cabell,West Virginia,96319,735,2781783.95
Kent,Rhode Island,166158,451,2511235.1
Shelby,Tennessee,927644,2023,17843880.07
Sevier,Utah,20802,4992,761420.77
Greensville,Virginia,12243,766,22755255.21
