County,State,Population in 2010,Area (sq km),Total Onshore & Offshore Hydrogen Potential (kg/yr)
Warren,Tennessee,39839,1123,3561253.3
Lincoln,Tennessee,33361,1481,6726162.78
Wayne,Tennessee,17021,1907,9434180.99
Perry,Tennessee,7915,1092,4023330.45
Milam,Texas,24757,2658,3492782.85
Nueces,Texas,340223,2238,14405869.84
Pecos,Texas,15507,12405,629567.54
Bee,Texas,31861,2310,1166191.08
Kenedy,Texas,416,3759,4974.24
Matagorda,Texas,36702,3047,5721408.84
Shelby,Texas,25448,2161,3298260.8
Wise,Texas,59127,2400,1159716.94
Kaufman,Texas,103350,2100,3145528.91
Jeff Davis,Texas,2342,5919,36965.5
Presidio,Texas,7818,9972,211078.84
Hopkins,Texas,35161,2037,976104.44
Harrison,Texas,65631,2372,23182316.72
Smith,Texas,209714,2449,5501859.27
Crockett,Texas,3719,7292,62062.77
Crane,Texas,4375,2054,60030.65
Freestone,Texas,19816,2315,287842.06
Leon,Texas,16801,2802,549395.7
Robertson,Texas,16622,2243,2382000.88
Comal,Texas,108472,1498,1821271.92
Davis,Utah,306479,1654,6215114.72
Box Elder,Utah,49975,17432,4635627.22
Garfield,Utah,5172,13514,166146.71
Millard,Utah,12503,17702,1850373.2
Rich,Utah,2264,2788,51945.39
Daggett,Utah,1059,1887,13421.44
Grand,Utah,9225,9557,277427.5
Washington,Utah,138115,6269,2380193.6
San Juan,Utah,14746,20518,650291.51
Tooele,Utah,58218,18889,984665.46
Kane,Utah,7125,10635,105762.19
Sanpete,Utah,27822,4159,796073.01
Piute,Utah,1556,1986,132718.55
Salt Lake,Utah,1029655,2086,17188412.26
Essex,Vermont,6306,1748,2567278.83
Caledonia,Vermont,31227,1704,2256702.54
Grand Isle,Vermont,6970,509,140053.02
Chittenden,Vermont,156545,1607,2924548.22
Lamoille,Vermont,24475,1200,1361319.99
Windsor,Vermont,56670,2537,2536987.19
Orange,Vermont,28936,1794,2208172.76
Rutland,Vermont,61642,2458,3993409.04
Washington,Vermont,59534,1802,1418684.01
Williamsburg,Virginia,14068,25,276678.46
Northampton,Virginia,12389,550,2671544.24
New Kent,Virginia,18429,545,1686310.06
King and Queen,Virginia,6945,827,3348969.4
Alleghany,Virginia,16250,1165,15062256.01
Lynchburg,Virginia,75568,132,1676381.16
Roanoke City,Virginia,97032,112,2550466.46
Caroline,Virginia,28545,1374,7961563.76
Fredericksburg,Virginia,24286,28,477069.6
Suffolk,Virginia,84585,1064,6627378.21
Hampton,Virginia,137436,139,2279494.72
Charlotte,Virginia,12586,1233,15630397.47
Carroll,Virginia,30042,1241,2771849.79
Dinwiddie,Virginia,28001,1314,6200873.12
Henrico,Virginia,306935,624,7101852.85
King William,Virginia,15935,712,4383559.64
Amelia,Virginia,12690,954,14887985.21
York,Virginia,65464,281,1135588.9
King George,Virginia,23584,470,2076663.14
Surry,Virginia,7058,731,5467998.17
Appomattox,Virginia,14973,886,2647984.62
Virginia Beach,Virginia,437994,670,9427573.63
Louisa,Virginia,33153,1322,11550194.7
Scott,Virginia,23177,1394,1668231.54
Alexandria,Virginia,139966,41,2784915.55
Buchanan,Virginia,24098,1299,933459.54
Hanover,Virginia,99863,1230,11629307.5
Shenandoah,Virginia,41993,1327,3981409.26
Fairfax,Virginia,1081726,1050,18572677.39
Richmond,Virginia,9254,488,9222239.55
Sussex,Virginia,12087,1291,6010154.23
James City,Virginia,67009,380,1443683.79
Pacific,Washington,20920,2423,20949300.95
Thurston,Washington,252264,1908,8277413.32
Lewis,Washington,75455,6334,81559685.47
Clark,Washington,425363,1667,10331287.71
Asotin,Washington,21623,1669,1764262.24
Chelan,Washington,72453,7749,1601109.84
Jefferson,Washington,29872,4706,4570909.71
San Juan,Washington,15769,454,296315.62
Adams,Washington,18728,4999,15179350.08
Cowlitz,Washington,102410,2968,45691694.17
Grant,Washington,89120,7230,19693127.1
Pierce,Washington,795225,4372,38783237.3
Kittitas,Washington,40915,6048,1250943.89
Ferry,Washington,7551,5866,1681382.67
Skagit,Washington,116901,4554,34962217.86
Whitman,Washington,44776,5640,31850580.21
Ritchie,West Virginia,10449,1176,1950707.82
Webster,West Virginia,9154,1447,6891000.39
Wetzel,West Virginia,16583,934,1771845.8
Boone,West Virginia,24629,1315,6069865.77
Hampshire,West Virginia,23964,1670,2391070.26
Fayette,West Virginia,46039,1732,8197452.44
Roane,West Virginia,14926,1250,1333515.87
Sheboygan,Wisconsin,115507,1336,8736717.92
Racine,Wisconsin,195408,875,7872725.49
Waupaca,Wisconsin,52410,1983,8558687.48
La Crosse,Wisconsin,114638,1242,6328922.24
Jackson,Wisconsin,20449,2591,7152655.83
Pierce,Wisconsin,41019,1531,9815137.68
Walker,Alabama,67023,2084,2893947.25
Cherokee,Alabama,25989,1549,7380411.37
Cleburne,Alabama,14972,1451,1788776.54
Lauderdale,Alabama,92709,1862,6923064.53
Calhoun,Alabama,118572,1591,3183217.62
Etowah,Alabama,104430,1426,2880259.98
Jackson,Alabama,53227,2925,8711017.24
Madison,Alabama,334811,2104,11348581.02
Morgan,Alabama,119490,1550,4169201.77
Perry,Alabama,10591,1863,9309603.19
Washington,Alabama,17581,2820,16421700.25
Natrona,Wyoming,75450,13936,1476867.89
Hot Springs,Wyoming,4812,5180,109651.03
Johnson,Wyoming,8569,10767,265433.19
Fremont,Wyoming,40123,24054,1119181.68
Sheridan,Wyoming,29116,6589,824291.22
Trinity,California,13786,8297,3705876.47
Logan,Arkansas,22353,1886,2184273.15
Amador,California,38091,1569,1614326.04
Plumas,California,20007,6745,6960818.36
Calaveras,California,45578,2685,1968402.92
Glenn,California,28122,3434,15863081.34
El Dorado,California,181058,4624,6287546.62
Orange,California,3010232,2061,53528003.2
Placer,California,348432,3886,9093916.82
Shasta,California,177223,9990,125629293
Riverside,California,2189641,18944,44793958.2
Sonoma,California,483878,4141,20051839.43
San Bernardino,California,2035210,52105,42741910.4
Las Animas,Colorado,15507,12326,543550.88
Delta,Colorado,30952,2968,2488723.05
Lincoln,Colorado,5467,6691,4293496.24
Eagle,Colorado,52197,4372,999806.49
Elbert,Colorado,23086,4802,1007743.22
Montezuma,Colorado,25535,5289,1690268
Montrose,Colorado,41276,5816,8215182.14
San Miguel,Colorado,7359,3338,154564.8
Rio Blanco,Colorado,6666,8313,115335.89
Denver,Colorado,600158,403,11365781.95
Weld,Colorado,252825,10411,27230489.1
Upson,Georgia,27153,845,1836043.58
Baldwin,Georgia,45720,694,1424686.75
Muscogee,Georgia,189885,575,4668979.77
Bibb,Georgia,155547,662,3431838.41
Wilkinson,Georgia,9563,1171,3295981.61
Candler,Georgia,10998,645,2009416.27
Emanuel,Georgia,22598,1787,36135907.62
Pike,Georgia,17869,568,1161666.73
Hancock,Georgia,9429,1239,2914859.42
Butts,Georgia,23655,491,1078411.06
Crowley,Colorado,5823,2074,120677.96
Kent,Delaware,162310,1566,12086579.91
Bastrop,Texas,74171,2305,1229806.07
Osceola,Florida,268685,3897,3874307.44
Calhoun,Texas,21381,1662,3235931.23
Chambers,Texas,35096,1634,2275835.14
Fannin,Texas,33915,2318,3161353.76
Liberty,Florida,8365,2185,23418291.78
Okaloosa,Florida,180822,2435,4686682.44
Fayette,Georgia,106567,517,1515295.8
Charlton,Georgia,12171,2019,8762231.57
Echols,Georgia,4034,1093,1862047.61
Atkinson,Georgia,8375,892,3211310.47
Berrien,Georgia,19286,1185,7461908.65
Cook,Georgia,17212,603,3017602.76
Lanier,Georgia,10078,520,1345923.62
Colquitt,Georgia,45498,1442,12385697.35
Crisp,Georgia,23439,729,4688861.33
Dooly,Georgia,14918,1028,4947887.72
Dougherty,Georgia,94565,867,2372252.43
Lee,Georgia,28298,938,3514080.68
Mitchell,Georgia,23498,1330,6773388.05
Sumter,Georgia,32819,1274,5810731.04
Worth,Georgia,21679,1488,7910007.8
Ben Hill,Georgia,17634,658,16942008.36
Coffee,Georgia,42356,1563,6332027.59
Dodge,Georgia,21796,1303,4583227.09
Wayne,Georgia,30099,1684,4591049.69
Irwin,Georgia,9538,939,5747614.6
Turner,Georgia,8930,751,2673334.16
Tazewell,Virginia,45078,1348,3240637.39
Nelson,Virginia,15020,1214,3256951.02
Maverick,Texas,54258,3370,1141678.06
Refugio,Texas,7383,2092,3578363.72
Brewster,Texas,9232,16050,150272.36
Newton,Texas,14445,2464,14281173.05
Mineral,West Virginia,28212,849,953376.04
Wyoming,West Virginia,23796,1310,1582032.92
Manitowoc,Wisconsin,81442,1541,9529807.53
Monroe,Wisconsin,44673,2355,5597509.93
Walworth,Wisconsin,102228,1490,8911793.01
Milwaukee,Wisconsin,947735,624,15933660.19
Montgomery,Alabama,229363,2081,6400926.51
Imperial,California,174528,11678,24863846.74
Pulaski,Arkansas,382748,2092,12992403.24
Forsyth,Georgia,175511,641,3057664.19
Northwest Arctic,Alaska,7523,94106,86624.5
Tehama,California,63463,7633,4869916.45
Maricopa,Arizona,3817117,23891,78744008.6
Alameda,California,1510271,1939,34243486.1
Kiowa,Colorado,1398,4631,3994487.5
Pinellas,Florida,916542,770,24763189.98
Bradford,Florida,28520,771,3217278.02
Madison,Florida,19224,1852,4400667.06
Flagler,Florida,95696,1328,2815054.94
Chattahoochee,Georgia,11267,656,581144.29
Holmes,Florida,19927,1269,2444595.4
Butte,Idaho,2891,5797,1528686.59
La Plata,Colorado,51334,4411,898545.63
Sarasota,Florida,379448,1515,5540888.8
Marion,Georgia,8742,951,1844766.16
Meriwether,Georgia,21992,1311,13283110.52
Union,Indiana,7516,429,3670252.18
Cassia,Idaho,22952,6660,11748170.43
Bannock,Idaho,82839,2976,2947479.74
Lake,Illinois,703462,1218,12568172.34
Vanderburgh,Indiana,179703,617,6601266.49
Laurel,Kentucky,58849,1153,8369808.05
Iberia,Louisiana,73240,1642,28445579.31
St. John the Baptist,Louisiana,45924,904,3598756.97
Jackson,Louisiana,16274,1494,4669230.53
Sagadahoc,Maine,35293,664,713400.15
Franklin,Maine,30768,4518,7010156.4
Talbot,Maryland,37782,667,7483350.37
Amite,Mississippi,13131,1890,5327362.85
Silver Bow,Montana,34200,1865,663884.73
Big Horn,Montana,12865,12987,3837229.96
Cape May,New Jersey,97265,717,1702444.85
Seneca,New York,35251,1007,4620829.45
Schoharie,New York,32749,1620,1368951.85
St. Lawrence,New York,111944,7155,6051225.69
Sampson,North Carolina,63431,2485,19270023.31
Lincoln,Oklahoma,34273,2507,636705.52
Le Flore,Oklahoma,50384,4173,2725234.01
Marlboro,South Carolina,28933,1260,7773958.72
Lamar,Texas,49793,2425,3996175.52
Hart,Kentucky,18199,1083,4517729.37
Otter Tail,Minnesota,57303,5787,29328322.94
Blue Earth,Minnesota,64013,1976,29397506
Hall,Georgia,179684,1112,3610844.15
Floyd,Kentucky,39451,1027,1584839.23
Cascade,Montana,81327,7020,8014656.21
Teton,Wyoming,21294,10917,413557.39
East Feliciana,Louisiana,20267,1177,25119293.82
Evangeline,Louisiana,33984,1759,7438484.2
Jefferson,Louisiana,432552,1286,7144008.01
Pointe Coupee,Louisiana,22802,1529,29587941.73
McDowell,North Carolina,44996,1149,3552646.87
Iron,Michigan,11817,3121,4090036.07
Phillips,Colorado,4442,1777,11084625.68
Saguache,Colorado,6108,8185,1846806.88
Washington,Colorado,4814,6537,9915022.75
Lake,Colorado,7310,991,136419.42
Park,Colorado,16206,5723,359655.12
Huerfano,Colorado,6711,4126,114113.15
Citrus,Florida,141236,1604,2961693.9
Gilchrist,Florida,16939,920,2459993.2
Hernando,Florida,172778,1268,2301640.6
Levy,Florida,40801,2925,6160018.74
Newton,Georgia,99958,724,2083538.98
Spalding,Georgia,64073,517,1390826.39
Crawford,Georgia,12630,849,1319054.79
McDuffie,Georgia,21875,690,1601514.83
Bulloch,Georgia,70217,1783,9324188.66
Burke,Georgia,23316,2161,9458045.09
Effingham,Georgia,52250,1260,12611152.05
Gwinnett,Georgia,805321,1130,14126285.24
Dawson,Georgia,22330,556,640087.74
Baraga,Michigan,8860,2386,3916331.71
Huron,Michigan,33118,2203,20813518.11
Macomb,Michigan,840978,1250,16884117.31
Iosco,Michigan,25887,1462,2665861.16
St. Clair,Michigan,163040,1879,10679981.5
Sanilac,Michigan,43114,2497,21418391.33
Tunica,Mississippi,10778,1237,14383917.36
Coahoma,Mississippi,26151,1517,16256757.61
Franklin,Mississippi,8118,1458,2049721.58
Jefferson,Mississippi,7726,1363,3218058.95
Warren,Mississippi,48773,1599,18591653.3
Wilkinson,Mississippi,9878,1785,6179943.56
Copiah,Mississippi,29449,2042,22917136.59
Hinds,Mississippi,245285,2253,7889051.2
Unicoi,Tennessee,18313,482,834295.44
Osage,Missouri,13878,1568,3444106.15
Dent,Missouri,15657,1945,2745666.83
Douglas,Missouri,13684,2136,1856962.97
Laclede,Missouri,35571,1979,1176205.92
Phelps,Missouri,45156,1759,2417675.78
Texas,Missouri,26008,3048,6388586.52
Boone,Missouri,162642,1789,5477155.84
Hill,Texas,35089,2547,8021899.16
Clay,Missouri,221939,1066,5075846.77
Jackson,Missouri,674158,1588,15021678.11
Vernon,Missouri,21159,2166,6541448.42
Cass,Missouri,99478,1813,5854765.31
Pettis,Missouri,42201,1770,5893597.17
Coosa,Alabama,11539,1731,6739255.26
Juneau,Alaska,31275,7176,465825.42
Haines,Alaska,2508,6142,53600.67
Wade Hampton,Alaska,7459,46558,87941.04
Kenai Peninsula,Alaska,55400,42797,908851.65
Sharp,Arkansas,17264,1541,751191.43
Boulder,Colorado,294567,1923,5338826.59
Grand,Colorado,14843,4840,1260718.85
Jackson,Colorado,1394,4220,51206.04
Larimer,Colorado,299630,6840,10151340.78
Summit,Colorado,27994,1613,632347.27
Adams,Colorado,441603,3090,16145146.16
Alamosa,Colorado,15445,1870,1132114.09
Conejos,Colorado,8256,3309,476259.21
Costilla,Colorado,3524,3193,390001.22
Custer,Colorado,4255,1917,80786.1
Douglas,Colorado,285465,2158,4814832.98
Clear Creek,Colorado,9088,1025,139395.19
El Paso,Colorado,622263,5529,14153073.53
Pitkin,Colorado,17148,2528,328405.32
San Juan,Colorado,699,1006,18443.42
Garfield,Colorado,56389,7686,1027351.07
Moffat,Colorado,13795,12333,337701.75
Routt,Colorado,23509,6135,1602255.57
Arapahoe,Colorado,572003,2074,9928441.33
Broomfield,Colorado,55889,87,1067481.91
Jefferson,Colorado,534543,2002,7940689.4
Gunnison,Colorado,15324,8488,356715.53
Fremont,Colorado,46824,3957,1328220.59
Houston,Georgia,139900,984,32936845.23
Jones,Georgia,28669,1021,1635099.01
Canyon,Idaho,188923,1575,11780956.09
Wabash,Illinois,11947,589,3995988.34
Jo Daviess,Illinois,22678,1603,11263454.87
DeKalb,Illinois,105160,1640,34466079.5
Ogle,Illinois,53497,1993,24214784.51
Winnebago,Illinois,295266,1355,12318014.62
Pike,Illinois,16430,2194,18010783.6
Schuyler,Illinois,7544,1139,5869883.97
Cass,Illinois,13642,1000,8913448.13
Perry,Illinois,22350,1153,4586186.97
White,Illinois,14665,1296,12100023.93
Pope,Illinois,4470,980,984089.45
Livingston,Illinois,38950,2721,32302806.86
Grundy,Illinois,50063,1113,12088184.15
McHenry,Illinois,308760,1591,17180495.2
Kane,Illinois,515269,1362,18499504.66
Kankakee,Illinois,113449,1765,21337012
Jefferson,Indiana,32428,949,4480329.56
Ohio,Indiana,6128,227,353496.84
Scott,Indiana,24181,498,2608714.83
Fountain,Indiana,17240,1028,10898253.01
Madison,Indiana,131636,1171,15479047.72
LaPorte,Indiana,111467,1564,16971129.69
Posey,Indiana,25910,1079,12619563.93
Sullivan,Indiana,21475,1175,6627897.99
St. Joseph,Indiana,266931,1198,14901504.26
Dearborn,Indiana,50047,800,2729105.43
Jackson,Iowa,19848,1687,11136419.4
Warren,Iowa,46225,1485,8942659.55
Polk,Iowa,430640,1534,20196971.66
Sumner,Kansas,24132,3067,17093979.31
Clay,Kansas,8535,1693,9403876.91
Dickinson,Kansas,19754,2206,9778184.33
Jessamine,Kentucky,48586,452,1249973.78
Lincoln,Kentucky,24742,873,7098493.93
Mercer,Kentucky,21331,657,605543.24
Woodford,Kentucky,24939,497,736155.82
Casey,Kentucky,15955,1153,7740356.97
McCreary,Kentucky,18306,1113,2980914.16
Wayne,Kentucky,20813,1244,3565174.2
Pulaski,Kentucky,63063,1746,10325263.01
Clinton,Kentucky,10272,529,2402489.05
Cumberland,Kentucky,6856,803,7949234.29
Green,Kentucky,11258,749,2872966.91
Grayson,Kentucky,25746,1323,4321305.26
Genesee,Michigan,425790,1687,12061244.3
Lapeer,Michigan,88319,1714,8087515.53
Allegan,Michigan,111408,2185,14667006.31
Kent,Michigan,602622,2259,17898382.16
Muskegon,Michigan,172188,1337,5193017.24
Newaygo,Michigan,48460,2229,4585292.47
Ottawa,Michigan,263801,1489,11128357.22
Arenac,Michigan,15899,950,4673750.37
Van Buren,Michigan,76258,1616,8295993.23
Benzie,Michigan,17525,897,760010.05
Grand Traverse,Michigan,86986,1277,2609407.04
Leelanau,Michigan,21708,993,653353.06
Manistee,Michigan,24733,1439,2148311.18
Mason,Michigan,28705,1323,2923594.32
Berrien,Michigan,156813,1499,9509728.49
Lenawee,Michigan,99892,1976,15142364.92
Bay,Michigan,107771,1169,11407139.15
Pine,Minnesota,29750,3726,5610475.91
Mille Lacs,Minnesota,26097,1760,4379927.98
Sherburne,Minnesota,88499,1166,5815340.1
Redwood,Minnesota,16059,2284,36466961.65
Renville,Minnesota,15730,2565,40865262.73
Tate,Mississippi,28886,1063,3081127.38
Monroe,Mississippi,36989,2020,7648376.71
Greene,Missouri,275174,1773,5097367.57
Jasper,Missouri,117404,1652,5125085.02
Taney,Missouri,51675,1689,1485745.5
St. Clair,Missouri,9805,1820,1331844.14
Pondera,Montana,6153,4248,7969734.56
Richardson,Nebraska,8363,1429,11341925.44
Lincoln,Nevada,5345,27547,120931.92
Eureka,Nevada,1987,10796,33286.32
San Juan,New Mexico,130044,14340,1691834.08
Hidalgo,New Mexico,4894,8960,75095.61
Lea,New Mexico,64727,11325,2982697.11
Grant,New Mexico,29514,10313,430915.45
Los Alamos,New Mexico,17950,279,234452.11
Socorro,New Mexico,17866,17255,365844.64
Guadalupe,New Mexico,4687,7825,68673.18
Mora,New Mexico,4881,5005,1043763.35
Torrance,New Mexico,16383,8641,302628.53
Taos,New Mexico,32937,5722,573831.33
Santa Fe,New Mexico,144170,4944,2485189.66
Bernalillo,New Mexico,662564,3024,11024766.17
Orange,North Carolina,133801,1051,3415865.52
Ashe,North Carolina,27281,1114,2893449.69
Mercer,North Dakota,8424,2874,5006311.45
Oliver,North Dakota,1846,1890,4147492.11
Perry,Ohio,36058,1069,3824531.28
Texas,Oklahoma,20640,5286,22849836.5
Greer,Oklahoma,6239,1661,2368840.54
Harney,Oregon,7422,26530,785098.45
Lane,Oregon,351715,11986,104571347.1
Klamath,Oregon,66380,15903,18039477.07
Josephine,Oregon,82713,4246,20128234.29
Linn,Oregon,116672,5966,36322362.66
Marion,Oregon,315335,3089,9898865.71
Columbia,Pennsylvania,67295,1274,5524275.66
Mifflin,Pennsylvania,46682,1068,4774394.14
Bedford,Pennsylvania,49762,2625,9520762.64
Wilkes,Georgia,10593,1226,2696444.16
Luzerne,Pennsylvania,320918,2360,7398273.38
Juniata,Pennsylvania,24636,1014,7853396.4
Elk,Pennsylvania,31946,2162,3751929.24
Philadelphia,Pennsylvania,1526006,369,27757689.7
Armstrong,Pennsylvania,68941,1721,4508271.38
Beaver,Pennsylvania,170539,1146,3177240.72
Clearfield,Pennsylvania,81642,2994,8932167.39
Perry,Pennsylvania,45969,1438,5853780.98
Bucks,Pennsylvania,625249,1608,12331108.83
Butler,Pennsylvania,183862,2050,8379457.08
Lincoln,South Dakota,44828,1504,11419630.77
Yankton,South Dakota,22438,1374,5527995.84
Jones,South Dakota,1006,2521,3980944.16
Mellette,South Dakota,2048,3400,1007295.43
Roberts,South Dakota,10149,2933,19676905.92
Dewey,South Dakota,5301,6315,2372385.49
Fentress,Tennessee,17959,1292,1257719.23
Cocke,Tennessee,35662,1148,1313710.11
Fayette,Tennessee,38413,1828,6422629.18
Henderson,Tennessee,27769,1367,4110281.34
Clay,Tennessee,7861,675,746822.92
Sumner,Tennessee,160645,1405,4380096
Hamblen,Tennessee,62544,455,2896216.56
Campbell,Tennessee,40716,1290,2254991.61
Washington,Tennessee,122979,846,5266620.59
Smith,Tennessee,19166,850,2898489.71
Claiborne,Tennessee,32213,1153,1731405.69
Roane,Tennessee,54181,1021,1200234.01
Monroe,Tennessee,44519,1690,2953946.42
Loudon,Tennessee,48556,639,1885356.91
McNairy,Tennessee,26075,1446,7700969.99
Anderson,Tennessee,75129,894,2125542.87
Sullivan,Tennessee,156823,1117,5706158.21
Clay,Texas,10752,2884,931422.07
Bexar,Texas,1714773,3260,29211024.53
San Saba,Texas,6131,2949,500239.04
Grayson,Texas,120877,2547,7688371.31
Zapata,Texas,14018,2706,191308.23
Wharton,Texas,41280,2832,16853113.21
Williamson,Texas,422679,2929,15185645.43
Austin,Texas,28417,1694,948022.07
Victoria,Texas,86793,2294,3677273.79
Anderson,Texas,58458,2795,3873394.97
Chesapeake,Virginia,222209,912,6393814.12
Warren,Virginia,37575,559,1047890.87
Madison,Virginia,13308,830,3664122.47
Cumberland,Virginia,10052,775,2183801.97
Middlesex,Virginia,10959,349,1360958.44
Richmond City,Virginia,204214,164,4463215.75
Orange,Virginia,33481,886,2866313.63
Gloucester,Virginia,36858,570,3978407.53
Southampton,Virginia,18570,1550,14188685.77
Bristol,Virginia,17835,30,320833.71
Dickenson,Virginia,15903,868,5665961.97
Prince George,Virginia,35725,693,2401290.32
Poquoson,Virginia,12150,44,184761.47
Rappahannock,Virginia,7373,688,515810.46
Franklin,Virginia,56159,1852,15357787.31
Oconto,Wisconsin,37660,2638,8702835.75
Adams,Wisconsin,20875,1775,3464547.8
Waukesha,Wisconsin,389891,1505,9076175.97
Jackson,Georgia,60485,889,1494018.66
Lumpkin,Georgia,29966,737,733140.71
Madison,Georgia,28120,740,900650.89
Walton,Georgia,83768,855,1788684.47
White,Georgia,27144,629,1197413.25
Elbert,Georgia,20166,968,1885408.02
Hart,Georgia,25213,668,1026697.26
Carroll,Georgia,110527,1305,4305053.4
Fulton,Illinois,37069,2290,16901866.02
Brown,Illinois,6937,799,3680168.16
Hancock,Illinois,19104,2107,21391517.18
Edwards,Illinois,6721,572,2983897.32
Williamson,Illinois,66357,1154,2643598.22
Appling,Georgia,18236,1325,7134626.32
Terrell,Georgia,9315,874,4358533.73
Harris,Georgia,32024,1226,2091651.36
Clay,Georgia,3183,572,1338330.46
Early,Georgia,11008,1356,5380482.43
Rock Island,Illinois,147546,1168,10957225.62
Bureau,Illinois,34978,2268,31504099.81
La Salle,Illinois,113924,2971,43499711.01
Lee,Illinois,36031,1886,28280903.18
Warren,Indiana,8508,954,9749963.2
Hamilton,Indiana,274569,1045,12710017.27
Blount,Alabama,57322,1692,2952613.92
Cullman,Alabama,80406,1948,10411570.99
DeKalb,Alabama,71109,2015,6032372.79
Marshall,Alabama,93019,1618,7493721.59
Baldwin,Alabama,182265,4287,10419394.2
Mobile,Alabama,412992,3256,13122735.77
Choctaw,Alabama,13859,2377,16460516.75
Clarke,Alabama,25833,3242,29027244.95
Marengo,Alabama,21027,2548,14545833.13
Monroe,Alabama,23068,2675,40886698.18
Jefferson,Alabama,658466,2912,23227966.77
Prince of Wales-Outer Ketchikan,Alaska,0,19475,17552528.68
Valdez-Cordova,Alaska,9636,97387,157900.47
Southeast Fairbanks,Alaska,7029,67817,106151.69
Sitka,Alaska,8881,7515,131122.56
Yakutat,Alaska,662,12842,8224.78
Nome,Alaska,9492,59856,113104.43
Anchorage,Alaska,291826,4475,4621733.28
Kodiak Island,Alaska,13592,17376,279399.03
Dillingham,Alaska,4847,48547,68087
Matanuska-Susitna,Alaska,88995,64550,1257131.53
Aleutians West,Alaska,5561,11478,90318.55
Wrangell-Petersburg,Alaska,0,15231,838.67
North Slope,Alaska,9430,233860,142827.27
Aleutians East,Alaska,3141,18190,68128.78
Skagway-Hoonah-Angoon,Alaska,0,20628,213.33
Yukon-Koyukuk,Alaska,5588,380909,85331.58
Lake and Peninsula,Alaska,1631,68524,25448.98
Greenlee,Arizona,8437,4769,187742.46
Apache,Arizona,71518,28993,2227539.31
Cochise,Arizona,131346,16053,5218696.69
Pima,Arizona,980263,23861,14721558.1
Pinal,Arizona,375770,13912,21657047.25
Navajo,Arizona,107449,25895,8252265.45
Yavapai,Arizona,211033,21069,5735077.7
St. Francis,Arkansas,28258,1671,19561958.15
Mississippi,Arkansas,46480,2383,28095984.94
Perry,Arkansas,10445,1451,3269685.11
Yell,Arkansas,22185,2463,4957384.86
Clark,Arkansas,22995,2284,36582656.07
Hot Spring,Arkansas,32923,1612,4301074.79
Cleveland,Arkansas,8689,1548,6072759.53
Grant,Arkansas,17853,1637,4927984.74
Clay,Arkansas,16083,1650,24828264.16
Craighead,Arkansas,96443,1847,27325431.96
Crittenden,Arkansas,50902,1642,22378431.07
Hempstead,Arkansas,22609,1921,3376730.17
Lafayette,Arkansas,7645,1404,4584219.4
Miller,Arkansas,43462,1663,4415255.94
Nevada,Arkansas,8997,1604,3642742.72
Ouachita,Arkansas,26120,1926,18120436.06
Scott,Arkansas,11233,2327,19183090.28
Sebastian,Arkansas,125744,1411,2650442.26
Union,Georgia,21356,854,482551.9
Franklin,Georgia,22084,693,951969.38
Habersham,Georgia,43041,723,2081230.07
Stephens,Georgia,26175,479,1001647.23
Laurens,Georgia,48434,2120,8324490.65
Twiggs,Georgia,9023,939,3047692.42
Montgomery,Georgia,9123,635,2227485.87
Pierce,Georgia,18758,890,23804306.78
Ware,Georgia,36312,2349,5641602.99
Wheeler,Georgia,7421,776,2030328.59
Toombs,Georgia,27223,958,4320246.06
Decatur,Georgia,27842,1612,7710197.34
Grady,Georgia,25011,1189,3828193.25
Thomas,Georgia,44720,1427,28455012.03
Brooks,Georgia,16243,1292,4221712.26
Lowndes,Georgia,109233,1326,28861038.12
Clinch,Georgia,6798,2136,7069249.73
Bryan,Georgia,30233,1150,2004276.65
Lancaster,South Carolina,76652,1435,5328679.43
Chatham,Georgia,265128,1199,26153520.75
Glynn,Georgia,79626,1088,20358582
Gordon,Georgia,55186,928,4160597.49
Liberty,Georgia,63453,1369,3442369.21
Murray,Georgia,39628,901,2698536.66
Baker,Georgia,3451,902,3518277.83
Pulaski,Georgia,12010,648,3476852.02
Calhoun,Georgia,6694,735,3772666.95
Hawaii,Hawaii,185079,10460,4516781.79
Maui,Hawaii,154834,3032,5488973.44
Kauai,Hawaii,67091,1648,2432491.34
Washington,Idaho,10198,3799,1464553.78
Hampton,South Carolina,21090,1457,6974552.36
Teton,Idaho,10170,1165,3088386.51
Gooding,Idaho,15464,1915,6496260.98
Boise,Idaho,7028,4955,892564.16
Owyhee,Idaho,11526,19980,4562899.03
Gem,Idaho,16719,1459,2777202.17
Latah,Idaho,37244,2808,11319556.47
Clearwater,Idaho,8761,6396,19454353.58
Kootenai,Idaho,138494,3422,23560393.05
Bonneville,Idaho,104234,4922,9408569.86
Bonner,Idaho,40877,4996,41965600.14
Idaho,Idaho,16267,22024,22058502.73
Pulaski,Illinois,6161,531,2839176.49
Macoupin,Illinois,47765,2253,18809848.26
Fayette,Illinois,22140,1875,9439045.3
Montgomery,Illinois,30104,1830,19485931.3
Randolph,Illinois,33476,1546,10245375.47
St. Clair,Illinois,270056,1743,17026195.28
Madison,Illinois,269282,1911,15419433.27
Franklin,Illinois,39561,1124,5188586.49
Clinton,Illinois,37762,1295,10848468.28
Washington,Illinois,14716,1467,10607323.64
Clay,Illinois,13815,1212,7418313.51
Sangamon,Illinois,197465,2267,35645894
Gallatin,Illinois,5589,860,8581736.48
