County,State,Population in 2010,Area (sq km),Total Utility PV Hydrogen Potential (kg/yr)
Brazos,Texas,194851,1525,1961737310
Grimes,Texas,26604,2077,2462697494
Ward,Texas,10658,2146,3848545490
Danville,Virginia,43055,114,27016245.32
Lancaster,Virginia,11391,344,350535164
Norfolk,Virginia,242803,143,0
Montgomery,Virginia,94392,1004,12988784.06
Door,Wisconsin,27785,1278,978900066.1
Fond du Lac,Wisconsin,101633,1987,1804908174
Douglas,Wisconsin,44159,3432,3145869983
Florence,Wisconsin,4423,1293,679456762.4
Marathon,Wisconsin,134063,4081,3962870444
Jefferson,Wisconsin,83686,1507,1241107004
Sauk,Wisconsin,61976,2200,821975246.2
Dodge,Wisconsin,88759,2339,1964808652
Polk,Wisconsin,44205,2470,2142343510
Custer,Idaho,4368,12789,1103290055
Jerome,Idaho,22374,1548,2400709068
Peoria,Illinois,186494,1637,1508759294
St. Croix,Wisconsin,84345,1900,1598194575
Kewaunee,Wisconsin,20574,886,908842969.9
Ozaukee,Wisconsin,86395,606,524775532.5
Sevier,Arkansas,17058,1509,809725346.9
Garland,Arkansas,96024,1902,258556070.8
Toole,Montana,5324,5077,5589254244
Broadwater,Montana,5612,3211,785317629.2
Blaine,Montana,6491,10988,9257447421
Barton,Missouri,12402,1532,2042106459
Churchill,Nevada,24877,13016,10636981204
Alleghany,North Carolina,11155,584,0
Surry,North Carolina,73673,1395,70056448.84
Union,North Carolina,201292,1665,1835355622
Warren,Ohio,212693,1054,766548532.6
Lucas,Ohio,441815,904,599877721.4
Ottawa,Ohio,41428,695,636135173.1
Sandusky,Ohio,60944,1066,1297258536
Pushmataha,Oklahoma,11572,3676,1423966441
Seminole,Oklahoma,25482,1664,1152121140
Muskogee,Oklahoma,70990,2171,2456015927
Monroe,Pennsylvania,169842,1589,143440491.6
Lancaster,Pennsylvania,519445,2547,732510105.1
Corson,South Dakota,4050,6557,5705002722
Maury,Tennessee,80956,1594,549304976.7
Starr,Texas,60968,3147,4798195248
Johnson,Texas,150934,1881,2222508467
Cache,Utah,112656,3058,917449050.7
Franklin,Vermont,47746,1790,246684804.4
Windham,Vermont,44513,2071,4886127.42
Addison,Vermont,36821,2101,406963670.9
Charles City,Virginia,7256,490,512240791
Nottoway,Virginia,15853,797,394670635.4
Trimble,Kentucky,8809,403,48215573.96
Tallahatchie,Mississippi,15378,1714,1739123600
Pittsylvania,Virginia,63506,2543,919779458.7
Grayson,Virginia,15533,1163,38998136.72
McDowell,West Virginia,22113,1396,3868082.28
Wood,West Virginia,86956,974,20986768.88
Chippewa,Wisconsin,62415,2698,2385394172
Rock,Wisconsin,160331,1872,1812863374
Cedar,Nebraska,8852,1925,1208231877
Knox,Nebraska,8701,2937,1405840554
Douglas,Nebraska,517110,888,372034080.6
Madison,Montana,7691,9327,1355467864
Sanders,Montana,11413,7209,587531350.2
Keya Paha,Nebraska,824,2001,1892338176
Sheridan,Nebraska,5469,6402,4454770341
LaMoure,North Dakota,4139,2984,4080523885
Dale,Alabama,50251,1456,536891613.5
Russell,Alabama,52947,1659,1318256299
Stanislaus,California,514453,3919,4230627247
Ashley,Arkansas,21853,2427,3018079993
Taylor,Georgia,8906,987,639820342.6
Nevada,California,98764,2529,55707829.08
Mohave,Arizona,200186,34916,15153129642
Yuba,California,72155,1668,1248679548
Colusa,California,21419,3011,2852213018
Inyo,California,18546,26512,4783873239
San Mateo,California,718451,1179,5579038.18
Jasper,Georgia,13900,971,269686972
Indian River,Florida,138028,1332,902488669.5
Hamilton,Florida,14799,1331,1610342883
Morgan,Georgia,17868,920,495625302.2
Peach,Georgia,27695,393,317997682.5
Henderson,Texas,78532,2459,1775664479
Hardeman,Texas,4139,1814,2701519345
Elmore,Idaho,27038,8036,2516588993
Bear Lake,Idaho,5986,2715,459722895.9
Warrick,Indiana,59689,1019,1030793347
Real,Texas,3309,1820,455332675.6
Hardin,Texas,54635,2326,1957836944
Washington,Virginia,54876,1464,12849443.98
Bath,Virginia,4731,1387,25897322.88
Floyd,Virginia,15279,987,35444281.36
Barron,Wisconsin,45870,2304,1877018352
Dodge,Nebraska,36691,1416,1715101132
Sarpy,Nebraska,158840,641,251708340
Washington,Nebraska,20234,1024,523117647.7
Cass,Nebraska,25241,1469,791187801.4
Dawson,Nebraska,24326,2644,2458494333
Polk,Nebraska,5406,1138,1823415590
Randolph,Georgia,7719,1116,841744051.5
Whiteside,Illinois,58498,1809,2245981592
Cook,Illinois,5194675,2492,286336973.8
DuPage,Illinois,916924,875,135912532.4
Lafayette,Louisiana,221578,697,526590903.1
Orleans,Louisiana,343829,905,2032069.48
Rapides,Louisiana,131613,3529,3112111332
Madison,Louisiana,12093,1679,1616030561
Penobscot,Maine,153923,9213,3824116366
Queen Anne's,Maryland,47798,943,1140564060
Keweenaw,Michigan,2156,1464,261121814.4
DeSoto,Mississippi,161252,1281,1211340371
Treasure,Montana,718,2552,1123714557
Colfax,New Mexico,13750,9768,6795249760
Lewis,New York,27087,3354,1690926903
Montgomery,North Carolina,27798,1302,633250796.4
Wayne,North Carolina,122623,1450,1775266659
Pontotoc,Oklahoma,37492,1878,1620898752
Richland,South Carolina,384504,2002,864826256.2
Cass,Texas,30464,2493,1185965498
Oldham,Kentucky,60316,508,153940538.2
Graves,Kentucky,37121,1437,1738986129
Daviess,Kentucky,96656,1227,1221953515
St. Tammany,Louisiana,233740,2878,1548816222
Barry,Michigan,59173,1501,1129010232
Carver,Minnesota,91042,970,971823019.1
Bolivar,Mississippi,34145,2342,2894691084
Yazoo,Mississippi,28065,2403,1931174014
Russell,Virginia,28897,1234,319995.88
Dawson,Montana,8966,6173,2072417682
Hill,Montana,16096,7541,9763032714
Lancaster,Nebraska,285407,2196,1454284670
Tyler,West Virginia,9208,672,175583.4
Esmeralda,Nevada,783,9284,5484981787
Cibola,New Mexico,27213,11702,9101752040
McCracken,Kentucky,65565,691,591946600.3
Alexander,North Carolina,37198,688,54287703.34
Tensas,Louisiana,5252,1664,1551744217
St. Helena,Louisiana,11203,1059,926395660.7
Washtenaw,Michigan,344791,1872,1479552380
McClain,Oklahoma,34506,1499,1373009081
Curry,Oregon,22364,4233,75145705.22
Le Sueur,Minnesota,27703,1226,1323532653
Newport,Rhode Island,82888,292,45845404.58
Claiborne,Mississippi,9604,1315,618559105.2
Rankin,Mississippi,141617,2088,1823356867
Jackson,Texas,14075,2238,3392300142
Putnam,Missouri,4979,1348,605574632.9
Marion,Texas,10546,1089,599916883.4
Accomack,Virginia,33164,1201,1258800613
Pend Oreille,Washington,13001,3679,324776315.1
Buffalo,Wisconsin,13587,1836,179664687.2
Towns,Georgia,10471,446,0
Wabasha,Minnesota,21676,1416,656048512.7
Aitkin,Minnesota,16202,5190,4667390073
Anoka,Minnesota,330844,1160,805605827.2
Clearwater,Minnesota,8695,2663,2762517472
Custer,Montana,11699,9807,2574732147
Morgan,West Virginia,17541,593,3347790.22
Marshall,West Virginia,33107,813,119656.84
Monroe,West Virginia,13502,1228,4857807.5
Clallam,Washington,71404,4613,265895552.4
Braxton,West Virginia,14523,1338,0
